ID,許可證字號,中文品名,主要功效,主要成分,申請商,警語簡化,網址
265,衛部健食規字第000093號,譚博士生技頂級紅麴膠囊,"調節血脂, 紅麴（規格標準）-調節血脂","每份含HMG-CoA還原酵素抑制劑
Monacolin K含量為5.8～8.7毫",譚博士生技有限公司,1.患有嚴重疾病、感染症、肝病或經外科手術等情況者，請勿食用。,http://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1590
266,衛署健食字第A00001號,威望身寶寧,調節血脂,"EPA, DHA 蒜素",維達股份有限公司,嬰幼兒、孕婦、糖尿病患者或正在服用抗凝血劑之凝血功能不全者，食用前請先徵詢醫師意見。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=1
267,衛署健食字第A00003號,雙鶴極品靈芝,"免疫調節, 護肝",每份含多醣體225毫克，三萜類216毫克,勇健工業股份有限公司,無,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=3
268,衛署健食字第A00004號,如新華茂紅麴清醇膠囊,調節血脂,HMG-CoA 還原酵素抑制劑,美商如新華茂股份有限公司台灣分公司,(A)患有嚴重疾病、感染症、肝病或經外科手術等情況，請勿使用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=4
269,衛署健食字第A00006號,統一AB原味優酪乳,胃腸功能改善,每100 毫升含雷特氏B 菌1*10^8 CFU 以上,統一企業股份有限公司,無,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=196
270,衛署健食字第A00007號,賜多利奶粉,"調節血脂, 免疫調節, 胃腸功能改善","特定免疫球蛋白G：4,000活性力價/克以上
以上） 總免疫球蛋白G： 300毫",連法國際實業股份有限公司,․對牛奶過敏者不適飲用。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=397
271,衛署健食字第A00010號,桂格原片原味大燕麥片,調節血脂,每一份量37.5 公克：含-聚葡萄糖   1.5～2.3 公克,佳格食品股份有限公司,攝取本產品應取代等量之日常穀類飲食。多食無益。,https://consumer.fda.gov.tw/Food/InfoHealthFoodDetail.aspx?nodeID=162&id=8
272,衛署健食字第A00011號,桂格即沖即食大燕麥片,"調節血脂, 不易形成體脂肪",每一份量37.5 公克：含β-聚葡萄糖   1.5～2.3 公克,佳格食品股份有限公司,(1) 攝取本產品應取代等量之日常穀類飲食。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=9
273,衛署健食字第A00012號,奧利多碳酸飲料,胃腸功能改善,"寡醣含量:
2.47 - 2.73 公克/100 毫升。",金車股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=10
274,衛署健食字第A00017號,威望佳美鈣,骨質保健,鈣、維生素Ｄ3、鎂、鋅,維達股份有限公司,規格一（1300毫克/粒）：一日請勿超過7粒。多食無益。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=15
275,衛署健食字第A00018號,人參精萃膠囊,"免疫調節, 抗疲勞",總人參配醣體,悅寶生物科技股份有限公司,●若食用後發生任何異於平常或非預期之反應，應諮詢醫師。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=16
276,衛署健食字第A00022號,波爾Green Time益牙口香糖-薄荷風味,牙齒保健,木糖醇,金車股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=20
277,衛署健食字第A00023號,如新華茂超級靈芝,"免疫調節功能, 護肝功能",靈芝三帖類、 靈芝多醣體,美商如新華茂股份有限公司台灣分公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=197
278,衛署健食字第A00024號,光泉晶球優酪乳 - 原味低脂,胃腸功能改善,比菲德氏龍根菌,光泉牧場股份有限公司,本產品含有牛奶，對其過敏者不宜食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=21
279,衛署健食字第A00026號,桂格三寶燕麥,調節血脂,β-聚葡萄糖,佳格食品股份有限公司,無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=23
280,衛署健食字第A00027號,金車補給園乳酸活菌複方膠囊,胃腸功能改善,活性乳酸菌、比菲德氏菌,金車股份有限公司,本產品含有菊苣纖維，食用後會促進腸道蠕動，並產生脹氣及排氣等現象，若有不適者請停止食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=24
281,衛署健食字第A00028號,葡萄王LGG特益菌,胃腸功能改善,Lactobacillus casei sp. rhamnosus GG,葡萄王生技股份有限公司,一歲以下的嬰兒不得食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=25
282,衛署健食字第A00029號,金車補給園幾丁聚醣複方膠囊,調節血脂,幾丁聚醣、類黃酮,金車股份有限公司,1.建議對蝦蟹過敏者避免食用。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=26
283,衛署健食字第A00030號,高鈣脫脂奶粉,"調節血脂, 胃腸功能改善",總乳酸菌、比菲德氏菌及鈣為品管指標成分,佳格食品股份有限公司,有乳糖不耐症者，食用前請先洽詢醫師或營養師意見。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=27
284,衛署健食字第A00032號,養樂多活菌發酵乳,胃腸功能改善,代田乳酸菌,養樂多股份有限公司,過敏原資訊：本產品含有牛奶。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=29
285,衛署健食字第A00033號,健康調和油 (暫停生產),調節血脂功能,油酸、 亞麻油酸、 次亞麻油酸,台灣第一生化科技股份有限公司,1.三少（少鹽、少糖、少油）的飲食原則，有助身體健康。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=30
286,衛署健食字第A00034號,洛神花保健膠囊,"調節血脂, 護肝",類黃酮素、多酚酸、花青素,愛健生命科學股份有限公司(95/8/11核准將許可證由寰生公司轉移給愛健),無特殊警語,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=31
287,衛署健食字第A00036號(本證失效),維力康膠囊,,甘草素,震達科技股份有限公司,1.GOT、GTP持續異常升高可能是肝病變所引起，應立即就醫。,https://consumer.fda.gov.tw//Food/InfoHealthFoodDetail.aspx?nodeID=162&id=33
